LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-01,98.87871,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-02,98.82097,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-03,98.96082,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-04,99.11282,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-05,99.0931,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-06,98.91512,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-07,98.66422,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-08,98.41836,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-09,98.19778,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-10,98.02478,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-11,97.94923,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1974-12,97.97561,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-01,98.13638,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-02,98.41613,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-03,98.73788,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-04,99.02735,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-05,99.21923,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-06,99.33564,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-07,99.42543,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-08,99.4849,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-09,99.5555,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-10,99.71397,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-11,100.0111,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1975-12,100.3907,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1976-01,100.7321,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1976-02,100.9083,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1976-03,100.9731,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1976-04,101.013,
OECD,CCI,AMPLITUD,LTRENDIDX,M,1976-05,101.0748,
